STATION,STATION_NAME,DATE,CLDD,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,TPCP,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790101,-9999,-9999,-9999,-9999,-9999,-9999,13,4,2,381,1447,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790201,-9999,-9999,-9999,-9999,-9999,-9999,14,4,2,533,1495,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790301,-9999,-9999,-9999,-9999,-9999,-9999,11,3,1,330,1091,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790401,-9999,-9999,-9999,-9999,-9999,-9999,4,0,0,102,280,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790501,-9999,-9999,-9999,-9999,-9999,-9999,6,0,0,76,329,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790601,-9999,-9999,-9999,-9999,-9999,-9999,1,0,0,25,25,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790701,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790801,-9999,-9999,-9999,-9999,-9999,-9999,5,0,0,102,305,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19790901,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19791001,-9999,-9999,-9999,-9999,-9999,-9999,3,1,1,305,432,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19791101,-9999,-9999,-9999,-9999,-9999,-9999,4,2,0,229,508,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19791201,-9999,-9999,-9999,-9999,-9999,-9999,7,2,2,610,1118,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19800101,-9999,-9999,-9999,-9999,-9999,-9999,12,7,5,635,2691,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19800201,-9999,-9999,-9999,-9999,-9999,-9999,11,7,3,686,2666,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19800301,-9999,-9999,-9999,-9999,-9999,-9999,14,1,1,254,990,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19800401,-9999,-9999,-9999,-9999,-9999,-9999,6,1,0,127,406,-9999,-9999,-9999,-9999,-9999
GHCND:USS0019L13S,VIRGINIA LAKES RIDGE CA US,19800501,-9999,-9999,-9999,-9999,-9999,-9999,5,1,0,127,356,-9999,-9999,-9999,-9999,-9999
